comment_id,polarity,text,created_at_gold,author_login,owner,repo,review_id,html_url,created_at_kaiaulu,updated_at,comment_user_login,author_association,file_path,start_line,line,original_start_line,original_line,position,diff_hunk,body,commit_id
1217114,2,"I'm concerned that this code is too functional at such a low level. I can imagine it being a hotspot. Obviously we will see when we do performance testing but usually you want C-like code when doing operations like this one to avoid a lot of CPU and memor""",2012-07-23 05:02:02,spullara,twitter,finagle,,https://github.com/twitter/finagle/pull/98#discussion_r1217114,2012-07-23T17:02:02Z,2012-08-08T19:28:58Z,spullara,NONE,finagle-mysql/src/main/scala/com/twitter/finagle/mysql/protocol/Buffer.scala,,,,,1,"@@ -0,0 +1,188 @@
+package com.twitter.finagle.mysql.protocol
+
+import java.lang.{Float => JFloat, Double => JDouble}
+import java.sql.{Time, Date, Timestamp}
+
+/**
+ * Defines classes to read and write to/from a byte buffer 
+ * in little endian byte order.
+ */
+
+class BufferReader(val buffer: Array[Byte], private[this] var offset: Int = 0) {
+  require(offset >= 0)
+  require(buffer != null)
+
+  def readable(width: Int = 1): Boolean = offset + width <= buffer.size
+
+   /**
+   * Reads multi-byte numeric values stored in a byte array. 
+   * Starts at offset and reads offset+width bytes. The values are
+   * assumed to be stored with the low byte first at data(offset) 
+   * (i.e. little endian) and the result is returned as a Long.
+   */
+  def read(width: Int): Long = {","I'm concerned that this code is too functional at such a low level. I can imagine it being a hotspot. Obviously we will see when we do performance testing but usually you want C-like code when doing operations like this one to avoid a lot of CPU and memory overhead.
",6758be5ae94a86241390214f303ddbbeae9d9e2c
1218344,2,"i'm sure the protocol has something to say about this, right?  probably it's even configurable? :-(""",2012-07-23 06:55:33,mariusaeriksen,twitter,finagle,,https://github.com/twitter/finagle/pull/98#discussion_r1218344,2012-07-23T18:55:33Z,2012-08-08T19:28:59Z,mariusae,CONTRIBUTOR,finagle-mysql/src/main/scala/com/twitter/finagle/mysql/protocol/Buffer.scala,,,,,1,"@@ -0,0 +1,188 @@
+package com.twitter.finagle.mysql.protocol
+
+import java.lang.{Float => JFloat, Double => JDouble}
+import java.sql.{Time, Date, Timestamp}
+
+/**
+ * Defines classes to read and write to/from a byte buffer 
+ * in little endian byte order.
+ */
+
+class BufferReader(val buffer: Array[Byte], private[this] var offset: Int = 0) {
+  require(offset >= 0)
+  require(buffer != null)
+
+  def readable(width: Int = 1): Boolean = offset + width <= buffer.size
+
+   /**
+   * Reads multi-byte numeric values stored in a byte array. 
+   * Starts at offset and reads offset+width bytes. The values are
+   * assumed to be stored with the low byte first at data(offset) 
+   * (i.e. little endian) and the result is returned as a Long.
+   */
+  def read(width: Int): Long = {
+    val n = (offset until offset + width).zipWithIndex.foldLeft(0L) {
+      case (result, (b,i)) => result | ((buffer(b) & 0xFFL) << (i*8))
+    }
+    offset += width
+    n
+  }
+
+  def readByte = read(1).toByte
+  def readUnsignedByte = read(1).toShort
+  def readShort = read(2).toShort
+  def readUnsignedShort = read(2).toInt
+  def readInt24 = read(3).toInt
+  def readInt = read(4).toInt
+  def readLong = read(8)
+  def readFloat = JFloat.intBitsToFloat(readInt)
+  def readDouble = JDouble.longBitsToDouble(readLong)
+
+  def skip(n: Int) = offset += n
+  def take(n: Int) = {
+    val res = buffer.drop(offset).take(n)
+    offset += n
+    res
+  }
+  def takeRest = take(buffer.size - offset)
+
+  /**
+  * Read MySQL data field - a variable length encoded binary.
+  * Depending on the first byte, read a different width from
+  * the data array.
+  */
+  def readLengthCodedBinary: Long = {
+    val firstByte = readByte
+    if(firstByte < 251)
+      firstByte
+    else
+      firstByte match {
+        case 252 => read(2)
+        case 253 => read(3)
+        case 254 => read(8)
+        case _ => -1 //NULL
+      }
+  }
+
+  def readNullTerminatedString: String = {
+    val result = new StringBuilder()
+    while(buffer(offset) != 0)
+      result += readByte.toChar
+
+    readByte //consume null byte
+    result.toString
+  }
+
+  def readLengthCodedString: String = {
+    val size = readUnsignedByte
+
+    if(size == 0xFB) 
+      return """" // NULL string.
+
+    val strBytes = new Array[Byte](size)
+    Array.copy(buffer, offset, strBytes, 0, size)
+    offset += size
+    new String(strBytes)
+  }
+
+  /**
+   * Read a MySQL binary encoded Timestamp from the buffer.
+   */
+  def readTimestamp: Timestamp = {
+    val len = readUnsignedByte
+    if(len == 0)
+      return new Timestamp(0)
+
+    var year, month, day, hour, min, sec, nano = 0
+
+    if(readable(4)) {
+      year = readUnsignedShort
+      month = readUnsignedByte
+      day = readUnsignedByte
+    }
+
+    if(readable(3)) {
+      hour = readUnsignedByte
+      min = readUnsignedByte
+      sec = readUnsignedByte
+    }
+
+    if(readable(4))
+      nano = readInt
+
+    val fmt = ""%04d-%02d-%02d %02d:%02d:%02d""
+    val ts = Timestamp.valueOf(fmt.format(year,month,day,hour,min,sec))
+    ts.setNanos(nano)
+    ts
+  }
+
+  def readDate: Date = new Date(readTimestamp.getTime)
+
+  /**
+   * Read a MySQL binary encoded Time field from the buffer.
+   */
+   def readTime: Time = {
+    val len = readUnsignedByte
+    if(len == 0)
+      return new Time(0)
+
+    val sign = if(readByte == 1) -1 else 1
+    val days = readInt
+    val hour = readUnsignedByte
+    val min = readUnsignedByte
+    val sec = readUnsignedByte
+
+    Time.valueOf(""%02d:%02d:%02d"".format(hour, min, sec))
+   }
+
+}
+
+class BufferWriter(val buffer: Array[Byte], private[this] var offset: Int = 0) {
+  require(offset >= 0)
+  require(buffer != null)
+
+  def writable(width: Int = 1): Boolean = offset + width <= buffer.size
+
+  /**
+   * Write multi-byte numeric values onto the the buffer by
+   * widening n accross 'width' byte chunks starting at buffer(offset)
+   */
+  def write(n: Long, width: Int): BufferWriter = {
+    (0 until width) foreach { i =>
+      buffer(i + offset) = ((n >> (i*8)) & 0xFF).toByte
+    }
+    offset += width
+    this
+  }
+
+  def writeBoolean(b: Boolean) = if(b) writeByte(0) else writeByte(1)
+  def writeByte(n: Byte) = write(n, 1)
+  def writeShort(n: Short) = write(n, 2)
+  def writeUnsignedShort(n: Int) = write(n, 2)
+  def writeInt24(n: Int) = write(n,  3)
+  def writeInt(n: Int) = write(n, 4)
+  def writeLong(n: Long) = write(n, 8)
+  def writeFloat(f: Float) = writeInt(JFloat.floatToIntBits(f))
+  def writeDouble(d: Double) = writeLong(JDouble.doubleToLongBits(d))
+
+  def skip(n: Int) = offset += n
+  def fill(n: Int, b: Byte) = {
+    (offset until offset + n) foreach { j => buffer(j) = b ; offset += 1 }
+    this
+  }
+  def fillRest(b: Byte) = fill(buffer.size - offset, b)
+
+  def writeNullTerminatedString(str: String) = {
+    Array.copy(str.getBytes, 0, buffer, offset, str.length)
+    buffer(offset + str.length) = '\0'.toByte
+    offset += str.length + 1
+    this
+  }
+
+  def writeLengthCodedString(str: String) = {
+    buffer(offset) = str.length.toByte
+    Array.copy(str.getBytes, 0, buffer, offset+1, str.length)","i'm sure the protocol has something to say about this, right?  probably it's even configurable? :-(
",6758be5ae94a86241390214f303ddbbeae9d9e2c
1217384,0,"You'll need to save the reader index here so that it is restored next time. See the [FrameDecoder example](http://docs.jboss.org/netty/3.1/api/org/jboss/netty/handler/codec/frame/FrameDecoder.html)""",2012-07-23 05:30:14,mariusaeriksen,twitter,finagle,,https://github.com/twitter/finagle/pull/98#discussion_r1217384,2012-07-23T17:30:14Z,2012-08-08T19:28:58Z,mariusae,CONTRIBUTOR,finagle-mysql/src/main/scala/com/twitter/finagle/mysql/codec/PacketFrameDecoder.scala,,36.0,,,1,"@@ -0,0 +1,38 @@
+package com.twitter.finagle.mysql.codec
+
+import com.twitter.finagle.mysql.protocol.{Packet, BufferReader}
+import com.twitter.finagle.mysql.util.BufferUtil
+import org.jboss.netty.buffer.ChannelBuffer
+import org.jboss.netty.channel.{Channel, ChannelHandlerContext}
+import org.jboss.netty.handler.codec.frame.FrameDecoder
+
+/**
+ * MySQL packets are a length encoded set of bytes written
+ * in little endian byte order.
+ *
+ * The built in LengthFieldBasedFrameDecoder in Netty
+ * doesn't seem to support byte buffers that are encoded in
+ * little endian. Thus, a simple custom FrameDecoder is
+ * needed to defrag a ChannelBuffer into a logical MySQL packet.
+ */
+class PacketFrameDecoder extends FrameDecoder {
+  override def decode(ctx: ChannelHandlerContext, channel: Channel, buffer: ChannelBuffer): Packet = {
+    if(buffer.readableBytes < Packet.headerSize)
+      return null
+
+    val header = new Array[Byte](Packet.headerSize)
+    buffer.readBytes(header)
+    val br = new BufferReader(header)
+
+    val (length, seq) = (br.readInt24, br.readByte)
+
+    if(buffer.readableBytes < length)
+      return null
+","You'll need to save the reader index here so that it is restored next time. See the [FrameDecoder example](http://docs.jboss.org/netty/3.1/api/org/jboss/netty/handler/codec/frame/FrameDecoder.html)
",6758be5ae94a86241390214f303ddbbeae9d9e2c
1218339,0,"(for future performance optimization) - we should try to use `ChannelBuffer`s as much as possible throughout as it allows us to reduce the amount of copying we do.""",2012-07-23 06:54:53,mariusaeriksen,twitter,finagle,,https://github.com/twitter/finagle/pull/98#discussion_r1218339,2012-07-23T18:54:53Z,2012-08-08T19:28:59Z,mariusae,CONTRIBUTOR,finagle-mysql/src/main/scala/com/twitter/finagle/mysql/protocol/Buffer.scala,,,,,1,"@@ -0,0 +1,188 @@
+package com.twitter.finagle.mysql.protocol
+
+import java.lang.{Float => JFloat, Double => JDouble}
+import java.sql.{Time, Date, Timestamp}
+
+/**
+ * Defines classes to read and write to/from a byte buffer 
+ * in little endian byte order.
+ */
+
+class BufferReader(val buffer: Array[Byte], private[this] var offset: Int = 0) {","(for future performance optimization) - we should try to use `ChannelBuffer`s as much as possible throughout as it allows us to reduce the amount of copying we do.
",6758be5ae94a86241390214f303ddbbeae9d9e2c
1218606,0,"As in, a rogue library that has a malicious toString method?  We can completely remove it but the problem of sql injection is still there if the a user builds their own sql statement.""",2012-07-23 07:25:17,roanta,twitter,finagle,,https://github.com/twitter/finagle/pull/98#discussion_r1218606,2012-07-23T19:25:17Z,2012-08-08T19:28:59Z,roanta,CONTRIBUTOR,finagle-mysql/src/main/scala/com/twitter/finagle/mysql/util/Query.scala,,26.0,,,1,"@@ -0,0 +1,75 @@
+package com.twitter.finagle.mysql.util
+
+import java.util.regex.Pattern
+
+class TooFewQueryParametersException(t: Throwable) extends Exception(t)
+class TooManyQueryParametersException(t: Throwable) extends Exception(t)
+
+object Query {
+  val wildcard = Pattern.compile(""\\?"")
+
+  /**
+   * Injects the string representation of each param sequentially
+   * into the sql string.
+   */
+  def injectParams(sql: String, params: Seq[Any]): String = {
+    def inject(param: Any): String = param match {
+      case p: Product => inject(p.productIterator.toIterable)
+      case i: Iterable[_] => i.toSeq.map(inject(_)).mkString("","")
+      case any => any.toString
+    }
+
+    replace(sql, params, inject)
+  }
+
+  /**
+   * Expands the wildcard in the sql to its full representation.
+   * Useful for prepared statements.
+   */
+  def expandParams(sql: String, params: Seq[Any]): String = {
+    def expand(param: Any): String = param match {
+      case p: Product => expand(p.productIterator.toIterable)
+      case a: Array[Byte] => ""?""
+      case i: Iterable[_] => i.toSeq.map(expand(_)).mkString("","")
+      case _ => ""?""
+    }
+
+    replace(sql, params, expand)
+  }
+
+
+  def flatten(params: Seq[Any]): Seq[Any] = params flatMap {
+    case p: Product => flatten(p.productIterator.toSeq)
+    case i: Iterable[_] => flatten(i.toSeq)
+    case x => Seq(x)
+  }
+
+  /**
+   * Replace each wildcard instance in sql with the output from
+   * running f(param(i))
+   */
+  private def replace(sql: String, params: Seq[Any], f: Any => String): String = {
+    if(params.isEmpty) {
+      return sql
+    }
+
+    val matcher = Query.wildcard.matcher(sql)","As in, a rogue library that has a malicious toString method?

We can completely remove it but the problem of sql injection is still there if the a user builds their own sql statement.
",6758be5ae94a86241390214f303ddbbeae9d9e2c
283419,2,"Oh crap, sorry about that. Let me fix it up quickly.""",2011-12-09 07:16:04,bmatheny,twitter,finagle,,https://github.com/twitter/finagle/pull/50#discussion_r283419,2011-12-09T18:16:04Z,2011-12-09T18:16:04Z,bmatheny,CONTRIBUTOR,finagle-memcached/src/main/scala/com/twitter/finagle/memcached/protocol/text/client/DecodingToResponse.scala,,34.0,,,20,"@@ -24,11 +24,14 @@ abstract class AbstractDecodingToResponse[R <: AnyRef] extends OneToOneDecoder {
       parseResponse(tokens)
     case ValueLines(lines) =>
       parseValues(lines)
+    case StatLines(lines) =>
+      parseStatLines(lines)
     case _ => throw new IllegalArgumentException(""Expecting a Decoding"")
   }
 
   protected def parseResponse(tokens: Seq[ChannelBuffer]): R
   protected def parseValues(valueLines: Seq[TokensWithData]): R
+  protected def parseStatLines(lines: Seq[Tokens]): R","Oh crap, sorry about that. Let me fix it up quickly.
",40147951e059eab2b230a4192abd73c2101a4c56
1230345,0,"I've implemented your suggestions. Removing the noise caused by wrapping the sets in Option[...] and not passing around the decoder in the Defragging class cleaned up the code a lot.  The changes actually reduced the amount of cases by 1, but I think it d""",2012-07-24 10:09:14,roanta,twitter,finagle,,https://github.com/twitter/finagle/pull/98#discussion_r1230345,2012-07-24T22:09:14Z,2012-08-08T19:29:01Z,roanta,CONTRIBUTOR,finagle-mysql/src/main/scala/com/twitter/finagle/mysql/codec/ResultDecoder.scala,,,,,1,"@@ -0,0 +1,168 @@
+package com.twitter.finagle.mysql.codec
+
+import com.twitter.finagle.mysql.ClientError
+import com.twitter.finagle.mysql.protocol._
+import com.twitter.logging.Logger
+import org.jboss.netty.buffer.ChannelBuffer
+import org.jboss.netty.channel._
+
+sealed abstract class State
+case object Idle extends State
+case object WaitingForGreeting extends State
+case class PacketDefragger(
+    firstPacket: Option[Packet] = None,
+    setOne: Option[List[Packet]] = None,
+    setTwo: Option[List[Packet]] = None,
+    setOneExpected: Boolean = true,
+    setTwoExpected: Boolean = true,
+    decoder: (Packet, List[Packet], List[Packet]) => Result
+  ) extends State","I've implemented your suggestions. Removing the noise caused by wrapping the sets in Option[...] and not passing around the decoder in the Defragging class cleaned up the code a lot.

The changes actually reduced the amount of cases by 1, but I think it did result in more understandable code. 
",6758be5ae94a86241390214f303ddbbeae9d9e2c
1226729,0,"I need to find a better way to represent corrupt data. From what I understand, it isn't idiomatic to throw exceptions that are not future encoded within Finagle.""",2012-07-24 04:31:36,roanta,twitter,finagle,,https://github.com/twitter/finagle/pull/98#discussion_r1226729,2012-07-24T16:31:36Z,2012-08-08T19:29:01Z,roanta,CONTRIBUTOR,finagle-mysql/src/main/scala/com/twitter/finagle/mysql/protocol/Buffer.scala,,,,,1,"@@ -0,0 +1,188 @@
+package com.twitter.finagle.mysql.protocol
+
+import java.lang.{Float => JFloat, Double => JDouble}
+import java.sql.{Time, Date, Timestamp}
+
+/**
+ * Defines classes to read and write to/from a byte buffer 
+ * in little endian byte order.
+ */
+
+class BufferReader(val buffer: Array[Byte], private[this] var offset: Int = 0) {
+  require(offset >= 0)
+  require(buffer != null)
+
+  def readable(width: Int = 1): Boolean = offset + width <= buffer.size
+
+   /**
+   * Reads multi-byte numeric values stored in a byte array. 
+   * Starts at offset and reads offset+width bytes. The values are
+   * assumed to be stored with the low byte first at data(offset) 
+   * (i.e. little endian) and the result is returned as a Long.
+   */
+  def read(width: Int): Long = {
+    val n = (offset until offset + width).zipWithIndex.foldLeft(0L) {
+      case (result, (b,i)) => result | ((buffer(b) & 0xFFL) << (i*8))
+    }
+    offset += width
+    n
+  }
+
+  def readByte = read(1).toByte
+  def readUnsignedByte = read(1).toShort
+  def readShort = read(2).toShort
+  def readUnsignedShort = read(2).toInt
+  def readInt24 = read(3).toInt
+  def readInt = read(4).toInt
+  def readLong = read(8)
+  def readFloat = JFloat.intBitsToFloat(readInt)
+  def readDouble = JDouble.longBitsToDouble(readLong)
+
+  def skip(n: Int) = offset += n
+  def take(n: Int) = {
+    val res = buffer.drop(offset).take(n)
+    offset += n
+    res
+  }
+  def takeRest = take(buffer.size - offset)
+
+  /**
+  * Read MySQL data field - a variable length encoded binary.
+  * Depending on the first byte, read a different width from
+  * the data array.
+  */
+  def readLengthCodedBinary: Long = {
+    val firstByte = readByte
+    if(firstByte < 251)
+      firstByte
+    else
+      firstByte match {
+        case 252 => read(2)
+        case 253 => read(3)
+        case 254 => read(8)
+        case _ => -1 //NULL
+      }
+  }
+
+  def readNullTerminatedString: String = {
+    val result = new StringBuilder()
+    while(buffer(offset) != 0)
+      result += readByte.toChar
+
+    readByte //consume null byte
+    result.toString
+  }
+
+  def readLengthCodedString: String = {
+    val size = readUnsignedByte
+
+    if(size == 0xFB) 
+      return """" // NULL string.
+
+    val strBytes = new Array[Byte](size)
+    Array.copy(buffer, offset, strBytes, 0, size)
+    offset += size
+    new String(strBytes)
+  }
+
+  /**
+   * Read a MySQL binary encoded Timestamp from the buffer.
+   */
+  def readTimestamp: Timestamp = {
+    val len = readUnsignedByte
+    if(len == 0)
+      return new Timestamp(0)
+
+    var year, month, day, hour, min, sec, nano = 0
+
+    if(readable(4)) {","I need to find a better way to represent corrupt data. From what I understand, it isn't idiomatic to throw exceptions that are not future encoded within Finagle.
",6758be5ae94a86241390214f303ddbbeae9d9e2c
184733,2,"um. this is wrong :-(""",2011-10-21 10:09:10,mariusaeriksen,twitter,finagle,,https://github.com/twitter/finagle/pull/42#discussion_r184733,2011-10-21T22:09:10Z,2011-10-21T23:08:31Z,mariusae,CONTRIBUTOR,finagle-core/src/main/scala/com/twitter/finagle/Service.scala,,1.0,,,1,"@@ -1,217 +1,1200 @@
-package com.twitter.finagle","um. this is wrong :-(
",def695588971129e15382d618f3b035ec01bc2c7
1217557,2,"Does this regular expression work if I have ? within quotes? I also don't know why we are doing the replacement rather than leaving it to the server? This seems pretty dangerous.""",2012-07-23 05:44:10,spullara,twitter,finagle,,https://github.com/twitter/finagle/pull/98#discussion_r1217557,2012-07-23T17:44:10Z,2012-08-08T19:28:59Z,spullara,NONE,finagle-mysql/src/main/scala/com/twitter/finagle/mysql/util/Query.scala,,26.0,,,1,"@@ -0,0 +1,75 @@
+package com.twitter.finagle.mysql.util
+
+import java.util.regex.Pattern
+
+class TooFewQueryParametersException(t: Throwable) extends Exception(t)
+class TooManyQueryParametersException(t: Throwable) extends Exception(t)
+
+object Query {
+  val wildcard = Pattern.compile(""\\?"")
+
+  /**
+   * Injects the string representation of each param sequentially
+   * into the sql string.
+   */
+  def injectParams(sql: String, params: Seq[Any]): String = {
+    def inject(param: Any): String = param match {
+      case p: Product => inject(p.productIterator.toIterable)
+      case i: Iterable[_] => i.toSeq.map(inject(_)).mkString("","")
+      case any => any.toString
+    }
+
+    replace(sql, params, inject)
+  }
+
+  /**
+   * Expands the wildcard in the sql to its full representation.
+   * Useful for prepared statements.
+   */
+  def expandParams(sql: String, params: Seq[Any]): String = {
+    def expand(param: Any): String = param match {
+      case p: Product => expand(p.productIterator.toIterable)
+      case a: Array[Byte] => ""?""
+      case i: Iterable[_] => i.toSeq.map(expand(_)).mkString("","")
+      case _ => ""?""
+    }
+
+    replace(sql, params, expand)
+  }
+
+
+  def flatten(params: Seq[Any]): Seq[Any] = params flatMap {
+    case p: Product => flatten(p.productIterator.toSeq)
+    case i: Iterable[_] => flatten(i.toSeq)
+    case x => Seq(x)
+  }
+
+  /**
+   * Replace each wildcard instance in sql with the output from
+   * running f(param(i))
+   */
+  private def replace(sql: String, params: Seq[Any], f: Any => String): String = {
+    if(params.isEmpty) {
+      return sql
+    }
+
+    val matcher = Query.wildcard.matcher(sql)","Does this regular expression work if I have ? within quotes? I also don't know why we are doing the replacement rather than leaving it to the server? This seems pretty dangerous.
",6758be5ae94a86241390214f303ddbbeae9d9e2c
