comment_id,polarity,text,created_at_gold,author_login,owner,repo,review_id,html_url,created_at_kaiaulu,updated_at,comment_user_login,author_association,file_path,start_line,line,original_start_line,original_line,position,diff_hunk,body,commit_id
1119406,1,"ok! :)""",2012-07-08 04:54:02,Diapolo,bitcoin,bitcoin,,https://github.com/bitcoin/bitcoin/pull/1469#discussion_r1119406,2012-07-08T16:54:02Z,2012-07-08T16:54:02Z,Diapolo,NONE,src/qt/addressbookpage.cpp,,204.0,,,45,"@@ -182,7 +186,25 @@ void AddressBookPage::on_signMessage_clicked()
     QObject *qoGUI = parent()->parent();
     BitcoinGUI *gui = qobject_cast<BitcoinGUI *>(qoGUI);
     if (gui)
-        gui->gotoMessagePage(addr);
+        gui->gotoSignMessageTab(addr);
+}
+
+void AddressBookPage::on_verifyMessage_clicked()
+{
+    QTableView *table = ui->tableView;
+    QModelIndexList indexes = table->selectionModel()->selectedRows(AddressTableModel::Address);
+    QString addr;
+
+    foreach (QModelIndex index, indexes)
+    {
+        QVariant address = index.data();
+        addr = address.toString();
+    }
+
+    QObject *qoGUI = parent()->parent();","@laanwj See #1569 for a fix for this.
",47894585aeaa4f5475c50bc4415ed6ced868fbf7
3644466,1,"I'll add a ToDo in my local build :).""",2013-04-03 08:24:12,Diapolo,bitcoin,bitcoin,,https://github.com/bitcoin/bitcoin/pull/2452#discussion_r3644466,2013-04-03T20:24:12Z,2013-04-03T20:24:12Z,Diapolo,NONE,src/qt/bitcoingui.h,,63.0,,,25,"@@ -56,9 +57,17 @@ class BitcoinGUI : public QMainWindow
 
     bool addWallet(const QString& name, WalletModel *walletModel);
     bool setCurrentWallet(const QString& name);
-    
+
     void removeAllWallets();
 
+    /** Used by WalletView to allow access to needed QActions */","I'll add a ToDo in my local build :).
",8726de26ee0010eaf64d44d69cc9b8e09e580a37
2832316,1,"@luke-jr See #2217 ^^ someone just needs to do this.""",2013-01-30 08:58:06,Diapolo,bitcoin,bitcoin,,https://github.com/bitcoin/bitcoin/pull/2247#discussion_r2832316,2013-01-30T19:58:06Z,2013-01-30T19:58:06Z,Diapolo,NONE,COPYING,,1.0,,,2,"@@ -1,4 +1,4 @@
-Copyright (c) 2009-2012 Bitcoin Developers
+Copyright (c) 2009-2013 Bitcoin Developers","@luke-jr See #2217 ^^ someone just needs to do this.
",d38c6488d067c2e88726e2ca99bc76fd67dab49b
1928306,0,"Agree, in this case, it's an optimization not needing to calculate the hash.""",2012-10-24 01:36:53,sipa,bitcoin,bitcoin,,https://github.com/bitcoin/bitcoin/pull/1953#discussion_r1928306,2012-10-24T13:36:53Z,2012-10-24T13:36:53Z,sipa,MEMBER,src/main.cpp,,1561.0,,,4,"@@ -1558,7 +1558,8 @@ bool CBlock::ConnectBlock(CBlockIndex* pindex, CCoinsViewCache &view, bool fJust
     // Now that the whole chain is irreversibly beyond that time it is applied to all blocks except the
     // two in the chain that violate it. This prevents exploiting the issue against nodes in their
     // initial block download.
-    bool fEnforceBIP30 = !((pindex->nHeight==91842 && pindex->GetBlockHash() == uint256(""0x00000000000a4d0a398161ffc163c503763b1f4360639393e0e4c8e300e0caec"")) ||","Agree, in this case, it's an optimization not needing to calculate the hash.
",faff50d129b6d4b9e6397ac989218e83a26ae692
1449572,0,"@laanwj What do you say? Is the general idea for that reset button a good one and what about the detach thing?""",2012-08-23 09:50:50,Diapolo,bitcoin,bitcoin,,https://github.com/bitcoin/bitcoin/pull/1685#discussion_r1449572,2012-08-23T21:50:50Z,2013-01-05T12:52:15Z,Diapolo,NONE,src/qt/optionsmodel.cpp,,,,,1,"@@ -167,7 +185,7 @@ QVariant OptionsModel::data(const QModelIndex & index, int role) const
         case DisplayAddresses:
             return QVariant(bDisplayAddresses);
         case DetachDatabases:
-            return QVariant(bitdb.GetDetach());
+            return settings.value(""detachDB"", false);","@laanwj What do you say? Is the general idea for that reset button a good one and what about the detach thing?
",5fb445b49e80812f004f00d5adf8fdd39bec557f
1366333,1,"So everything fine here :)?""",2012-08-13 08:39:34,Diapolo,bitcoin,bitcoin,,https://github.com/bitcoin/bitcoin/pull/1649#discussion_r1366333,2012-08-13T20:39:34Z,2012-08-13T20:39:34Z,Diapolo,NONE,src/qt/optionsdialog.cpp,,154.0,,,33,"@@ -147,6 +150,16 @@ void OptionsDialog::setMapper()
     mapper->addMapping(ui->displayAddresses, OptionsModel::DisplayAddresses);
 }
 
+void OptionsDialog::enableApplyButton()
+{","So everything fine here :)?
",4aaa4313e7edf5d23143e393efd2d5892d5dde48
974400,0,"If you add `TODO:` in the comment, many code editors will show it in an overview. Might be useful, and more clear to readers that it isn't just commented out code (otherwise, someone that doesn't know might remove it).""",2012-06-12 20:36:14,laanwj,bitcoin,bitcoin,,https://github.com/bitcoin/bitcoin/pull/1405#discussion_r974400,2012-06-13T08:36:14Z,2012-06-13T08:36:14Z,laanwj,MEMBER,src/db.cpp,,658.0,,,138,"@@ -535,6 +551,118 @@ CBlockIndex static * InsertBlockIndex(uint256 hash)
     return pindexNew;
 }
 
+bool CTxDB::PruneBlockIndex(uint256 hashPruneFrom, uint256 hashPruneTo)
+{
+//    TODO: assert here, but cant #include main.h
+//    if (hashPruneFrom != 0)
+//        assert(hashPruneTo == hashBestBlock);
+
+    CBlockIndex* pindexScan = pindexGenesisBlock;
+    uint256 hashOldBestCheckpoint;
+    if (ReadHashBestCheckpoint(hashOldBestCheckpoint) && hashOldBestCheckpoint == hashPruneTo)
+        return true;
+
+    if (!mapBlockIndex.count(hashPruneTo))
+        return true;
+
+    if (hashPruneFrom != 0)
+        pindexScan = mapBlockIndex[hashPruneFrom];
+    assert(pindexScan);
+
+    printf(""Pruning Block Index from %s to %s.\n"", hashPruneFrom.ToString().substr(0,20).c_str(), hashPruneTo.ToString().substr(0,20).c_str());
+
+    // Cache of Txes by hash -> txouts spent before hashPruneTo flags + cant be deleted flag
+    map<uint256, pair<vector<bool>, bool> > mapTxIndexCache;
+
+    while (pindexScan != NULL && *(pindexScan->phashBlock) != hashPruneTo)
+    {
+        if(fRequestShutdown)
+            return true;
+
+        CBlock block;
+        block.ReadFromDisk(pindexScan);
+
+        BOOST_FOREACH(CTransaction& tx, block.vtx)
+        {
+            if (tx.IsCoinBase())
+                continue;
+
+            BOOST_FOREACH(CTxIn& txin, tx.vin)
+            {
+                COutPoint& txout = txin.prevout;
+                uint256& hash = txout.hash;
+                pair<vector<bool>, bool>& pairTx = mapTxIndexCache[hash];
+
+                if (pairTx.first.size() == 0)
+                {
+                    CTxIndex txindex;
+                    if (!ReadTxIndex(hash, txindex))
+                    {
+                        // This should only ever happen if we get interrupted pruning and dont WriteHashBestCheckpoint
+                        pairTx.second = false;
+                        break;
+                    }
+
+                    vector<CDiskTxPos>& vSpent = txindex.vSpent;
+                    unsigned int vouts = vSpent.size();
+
+                    pairTx.first.resize(vouts);
+
+                    pairTx.second = true;
+                    for (unsigned int i = 0; i < vouts; i++)
+                    {
+                        if (vSpent[i].IsNull())
+                        {
+                            pairTx.second = false;
+                            break;
+                        }
+                        pairTx.first[i] = false;
+                    }
+                }
+
+                if (pairTx.second == false)
+                    continue;
+
+                pairTx.first[txout.n] = true;
+            }
+        }
+
+        pindexScan = pindexScan->pnext;
+    }
+
+    // TODO: It may be prudent to use DB Transactions here, but if we do we overrun our maximum lock objects
+    //if (!TxnBegin())
+    //    return false;
+
+    unsigned int nTxsPruned = 0;
+    typedef pair<const uint256, pair<vector<bool>, bool> > TxIndexCachePairType;
+    BOOST_FOREACH(TxIndexCachePairType& pair, mapTxIndexCache)
+    {
+        bool fPrunable = true;
+        BOOST_FOREACH(bool fSpent, pair.second.first)
+            if (!fSpent)
+            {
+                fPrunable = false;
+                break;
+            }
+
+        if (!fPrunable)
+            continue;
+
+        EraseTxIndex(pair.first);
+        nTxsPruned++;
+    }
+
+    WriteHashBestCheckpoint(hashPruneTo);
+
+    //if (!TxnCommit())","If you add `TODO:` in the comment, many code editors will show it in an overview. Might be useful, and more clear to readers that it isn't just commented out code (otherwise, someone that doesn't know might remove it).
",24f4c50f2997bfc9e374c26b25e234dea549774f
775694,1,"Didn't know that, but I think the names are more speaking than a simple -1 :), look how we guessed what that -1 means here. Would not have happend if we used the error codes.""",2012-05-04 05:48:34,Diapolo,bitcoin,bitcoin,,https://github.com/bitcoin/bitcoin/pull/1180#discussion_r775694,2012-05-04T17:48:34Z,2012-05-04T17:48:34Z,Diapolo,NONE,src/net.cpp,,624.0,,,5,"@@ -621,7 +621,7 @@ void ThreadSocketHandler2(void* parg)
         if (nSelect == SOCKET_ERROR)
         {
             int nErr = WSAGetLastError();
-            if (hSocketMax > -1)
+            if (hSocketMax > (SOCKET) -1)","Didn't know that, but I think the names are more speaking than a simple -1 :), look how we guessed what that -1 means here. Would not have happend if we used the error codes.
",024fa1cb44b8ec577fef07e7b37a4e5b0501dbea
1637626,2,"If all who contribute translatable strings to the source would be a little more straight there would be no need for this. It really annoys me, that we have strings that have incorrect grammar or punctuation.  At least for the string """"Error: Transaction cr""",2012-09-18 20:50:10,Diapolo,bitcoin,bitcoin,,https://github.com/bitcoin/bitcoin/pull/1830#discussion_r1637626,2012-09-19T08:50:10Z,2012-10-25T20:34:18Z,Diapolo,NONE,src/qt/sendcoinsdialog.cpp,,151.0,,,5,"@@ -148,7 +148,7 @@ void SendCoinsDialog::on_sendButton_clicked()
         break;
     case WalletModel::TransactionCreationFailed:
         QMessageBox::warning(this, tr(""Send Coins""),
-            tr(""Error: Transaction creation failed.""),
+            tr(""Error: Transaction creation failed!""),","If all who contribute translatable strings to the source would be a little more straight there would be no need for this.
It really annoys me, that we have strings that have incorrect grammar or punctuation.

At least for the string ""Error: Transaction creation failed."" we currently already have 2 strings in the translations, this pull makes one out of them.

You are free to close such pulls you consider not valuable, even if I don't agree here, as a good overall string handling was needed badly and this covers the last things I could find!
",6b3783a9c9cc47afcf72aa0a86ea26122392efdb
1681635,0,"No problem here, it is entirely correct: calling itostr casts the unsigned short to a signed integer (which is larger, so there is never undefined behavior), before feeding it into strprintf as a signed integer (%d). """,2012-09-24 20:46:54,laanwj,bitcoin,bitcoin,,https://github.com/bitcoin/bitcoin/pull/1862#discussion_r1681635,2012-09-25T08:46:54Z,2012-09-25T08:46:54Z,laanwj,MEMBER,src/bitcoinrpc.cpp,,1063.0,,,26,"@@ -1055,7 +1060,7 @@ Object CallRPC(const string& strMethod, const Array& params)
     asio::ssl::stream<asio::ip::tcp::socket> sslStream(io_service, context);
     SSLIOStreamDevice<asio::ip::tcp> d(sslStream, fUseSSL);
     iostreams::stream< SSLIOStreamDevice<asio::ip::tcp> > stream(d);
-    if (!d.connect(GetArg(""-rpcconnect"", ""127.0.0.1""), GetArg(""-rpcport"", ""8332"")))
+    if (!d.connect(GetArg(""-rpcconnect"", ""127.0.0.1""), GetArg(""-rpcport"", itostr(GetDefaultRPCPort()))))","No problem here, it is entirely correct: calling itostr casts the unsigned short to a signed integer (which is larger, so there is never undefined behavior), before feeding it into strprintf as a signed integer (%d).
",b202d430762c1b5c9925e948f357c66040f95f10
