comment_id,polarity,text,created_at_gold,author_login,owner,repo,review_id,html_url,created_at_kaiaulu,updated_at,comment_user_login,author_association,file_path,start_line,line,original_start_line,original_line,position,diff_hunk,body,commit_id
232603,0,"Not sure about what kind of line lengths the project adheres to, but this diff is showing so funky indentation here.""",2011-11-16 02:15:36,trustin,netty,netty,,https://github.com/netty/netty/pull/57#discussion_r232603,2011-11-16T13:15:36Z,2011-11-25T08:39:28Z,trustin,MEMBER,src/main/java/org/jboss/netty/channel/DefaultChannelFuture.java,,,,,1,"@@ -441,4 +372,30 @@ public class DefaultChannelFuture implements ChannelFuture {
                     ChannelFutureProgressListener.class.getSimpleName() + ""."", t);
         }
     }
+    
+    private static final class Result {
+        
+        private final Throwable cause;
+
+        public Result() {
+            this(null);
+        }
+        
+        public Result(Throwable cause) {
+            this.cause = cause;
+        }
+        
+        public Throwable getCause() {
+            return cause;","It should return null if `cause` is `CANCELLED`.
",a382149bba690626e8f64c67d87f4f293525b8bc
6122179,0,"Yeah maybe  Am 03.09.2013 um 12:20 schrieb Trustin Lee <notifications@github.com>:  > In transport/src/main/java/io/netty/channel/ChannelOutboundBuffer.java: >  > > @@ -224,10 +238,44 @@ private static long total(Object msg) { > >      } > >   > """,2013-09-02 22:53:23,normanmaurer,netty,netty,,https://github.com/netty/netty/pull/1807#discussion_r6122179,2013-09-03T10:53:23Z,2013-09-03T12:13:09Z,normanmaurer,MEMBER,transport/src/main/java/io/netty/channel/ChannelOutboundBuffer.java,,,,,1,"@@ -224,10 +238,44 @@ private static long total(Object msg) {
     }
 
     public Object current() {
+        return current(false);","Yeah maybe

Am 03.09.2013 um 12:20 schrieb Trustin Lee notifications@github.com:

> In transport/src/main/java/io/netty/channel/ChannelOutboundBuffer.java:
> 
> > @@ -224,10 +238,44 @@ private static long total(Object msg) {
> >      }
> > 
> > ```
> >  public Object current() {
> > ```
> > -        return current(false);
> >   I wonder which should be the default. In most cases, the content of the heap buffer is going to be transferred to a direct buffer. Isn't it better the default being true?
> 
> —
> Reply to this email directly or view it on GitHub.
",e2491e66c4cefabd9d0b6002d469a75e4defe080
2774979,1,"Ok makes sense.. I will take care!""",2013-01-25 03:47:41,normanmaurer,netty,netty,,https://github.com/netty/netty/pull/982#discussion_r2774979,2013-01-25T14:47:41Z,2013-01-26T14:37:45Z,normanmaurer,MEMBER,transport/src/main/java/io/netty/channel/ChannelPipeline.java,,,,,1,"@@ -422,9 +542,68 @@
     ChannelPipeline replace(ChannelHandler oldHandler, String newName, ChannelHandler newHandler);
 
     /**
+     * Replaces the specified {@link ChannelHandler} with a new handler in
+     * this pipeline and transfer the content of its {@link Buf} to the given
+     * {@link Buf}.
+     *
+     * @param  oldHandler    the {@link ChannelHandler} to be replaced
+     * @param  newName       the name under which the replacement should be added
+     * @param  newHandler    the {@link ChannelHandler} which is used as replacement
+     * @param  transferToBuf the {@link Buf} into which the remaining content should be
+     *                       transfered on removal
+     * @return itself
+
+     * @throws NoSuchElementException
+     *         if the specified old handler does not exist in this pipeline
+     * @throws IllegalArgumentException
+     *         if a handler with the specified new name already exists in this
+     *         pipeline, except for the handler to be replaced or
+     *         if the given {@link Buf} is not be able to hold the type of data
+     *         which should be transfered.
+     * @throws NullPointerException
+     *         if the specified old handler, new name, new handler or transferToBuf is
+     *         {@code null}
+     */
+    ChannelPipeline replace(ChannelHandler oldHandler, String newName, ChannelHandler newHandler, Buf transferToBuf);
+
+    /**
+     * Replaces the specified {@link ChannelHandler} with a new handler in
+     * this pipeline and and transfer the content of it to the replacement
+     * if transferToReplacement is {@code true}
+     *
+     * @param  oldHandler               the {@link ChannelHandler} to be replaced
+     * @param  newName                  the name under which the replacement should be added
+     * @param  newHandler               the {@link ChannelHandler} which is used as replacement
+     * @param  transferToReplacement    if {@code true} is used the content of the replaced {@link ChannelHandler}
+     *                                  will be forwarded to the replacement. Be aware that it will not call
+     *                                  {@link #fireInboundBufferUpdated()} even if something was transfered.
+     * @return itself
+
+     * @throws NoSuchElementException
+     *         if the specified old handler does not exist in this pipeline
+     * @throws IllegalArgumentException
+     *         if a handler with the specified new name already exists in this
+     *         pipeline, except for the handler to be replaced or
+     *         if the given {@link Buf} is not be able to hold the type of data
+     *         which should be transfered.
+     * @throws NullPointerException
+     *         if the specified old handler, new name, new handler or transferToBuf is
+     *         {@code null}
+     */
+    ChannelPipeline replace(ChannelHandler oldHandler, String newName, ChannelHandler newHandler,","Ok makes sense.. I will take care!
",f15daaa98580eb7d16216fbb40939019172bd87e
1461013,0,"Ok switched to System.nanoTime()… Any other comments ?  Am 26.08.2012 um 16:17 schrieb Trustin Lee <notifications@github.com>:  > In src/main/java/org/jboss/netty/channel/socket/nio/AbstractNioWorker.java: >  > > @@ -220,7 +253,32 @@ public void run""",2012-08-26 04:52:23,normanmaurer,netty,netty,,https://github.com/netty/netty/pull/565#discussion_r1461013,2012-08-26T16:52:23Z,2012-08-29T05:43:29Z,normanmaurer,MEMBER,src/main/java/org/jboss/netty/channel/socket/nio/AbstractNioWorker.java,,,,,1,"@@ -220,7 +253,32 @@ public void run() {
             }
 
             try {
-                SelectorUtil.select(selector);
+                long beforeSelect = System.currentTimeMillis();","Ok switched to System.nanoTime()… Any other comments ?

Am 26.08.2012 um 16:17 schrieb Trustin Lee notifications@github.com:

> In src/main/java/org/jboss/netty/channel/socket/nio/AbstractNioWorker.java:
> 
> > @@ -220,7 +253,32 @@ public void run() {
> >              }
> > 
> > ```
> >          try {
> > ```
> > -                SelectorUtil.select(selector);
> > -                long beforeSelect = System.currentTimeMillis();
> >   I would still prefer nanoTime because it resists from system date shift. The perf difference is negligible IMHO.
> >   —
> >   Reply to this email directly or view it on GitHub.
",49ad538aef574ae99882ba80363f51e43a8e0004
1364618,2,"Ah I see.. sorry did not spot this via the diff. I should have reviewed it in more details :(""",2012-08-13 05:52:51,normanmaurer,netty,netty,,https://github.com/netty/netty/pull/506#discussion_r1364618,2012-08-13T17:52:51Z,2012-08-13T17:52:51Z,normanmaurer,MEMBER,buffer/src/main/java/io/netty/buffer/ByteBuf.java,,1842.0,,,48,"@@ -1802,6 +1835,13 @@
         ByteBuffer nioBuffer();
 
         /**
+         * Returns the internal NIO buffer array that is reused for I/O.
+         *
+         * @throws UnsupportedOperationException if the buffer has no internal NIO buffer array
+         */
+        ByteBuffer[] nioBuffers();","Ah I see.. sorry did not spot this via the diff. I should have reviewed it in more details :(
",06fd86971163c61c9a0866d92c67c190cd47fb13
424688,1,"As you know we love contributions ;) And thanks again for all the work!""",2012-02-07 08:02:45,normanmaurer,netty,netty,,https://github.com/netty/netty/pull/176#discussion_r424688,2012-02-07T19:02:45Z,2012-02-07T19:02:45Z,normanmaurer,MEMBER,src/main/java/org/jboss/netty/handler/codec/spdy/DefaultSpdyHeaderBlock.java,,68.0,,,68,"@@ -0,0 +1,96 @@
+/*
+ * Copyright 2012 Twitter, Inc.
+ *
+ * Licensed under the Apache License, Version 2.0 (the ""License""); you may
+ * not use this file except in compliance with the License. You may obtain
+ * a copy of the License at
+ *
+ *     http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+package org.jboss.netty.handler.codec.spdy;
+
+import java.util.List;
+import java.util.Map;
+import java.util.Set;
+
+import org.jboss.netty.util.internal.StringUtil;
+
+/**
+ * The default {@link SpdyHeaderBlock} implementation.
+ */
+public class DefaultSpdyHeaderBlock implements SpdyHeaderBlock {
+
+    private boolean invalid;
+    private final SpdyHeaders headers = new SpdyHeaders();
+
+    /**
+     * Creates a new instance.
+     */
+    protected DefaultSpdyHeaderBlock() {
+    }
+
+    public boolean isInvalid() {
+        return invalid;
+    }
+
+    public void setInvalid() {
+        this.invalid = true;
+    }
+
+    public void addHeader(final String name, final Object value) {
+        headers.addHeader(name, value);
+    }
+
+    public void setHeader(final String name, final Object value) {
+        headers.setHeader(name, value);
+    }
+
+    public void setHeader(final String name, final Iterable<?> values) {
+        headers.setHeader(name, values);
+    }
+
+    public void removeHeader(final String name) {
+        headers.removeHeader(name);
+    }
+
+    public void clearHeaders() {
+        headers.clearHeaders();
+    }
+
+    public String getHeader(final String name) {
+        List<String> values = getHeaders(name);
+        return values.size() > 0 ? values.get(0) : null;","As you know we love contributions ;) And thanks again for all the work!
",3f9e89c17d996bfc3ae0acda872f70ce837ca1d5
4819632,0,"I still don't get why we can't use ByteBuf here .. Could you give more details ?""",2013-06-21 03:04:28,normanmaurer,netty,netty,,https://github.com/netty/netty/pull/1354#discussion_r4819632,2013-06-21T15:04:28Z,2013-06-29T13:44:54Z,normanmaurer,MEMBER,codec/src/main/java/io/netty/handler/codec/dns/DnsResponse.java,,,,,1,"@@ -0,0 +1,45 @@
+/*
+ * Copyright 2013 The Netty Project
+ *
+ * The Netty Project licenses this file to you under the Apache License,
+ * version 2.0 (the ""License""); you may not use this file except in compliance
+ * with the License. You may obtain a copy of the License at:
+ *
+ *   http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS, WITHOUT
+ * WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the
+ * License for the specific language governing permissions and limitations
+ * under the License.
+ */
+package io.netty.handler.codec.dns;
+
+import io.netty.util.ReferenceCounted;
+
+/**
+ * A DNS response packet which is sent to a client after a server receives a
+ * query.
+ */
+public class DnsResponse extends DnsMessage<DnsResponseHeader> {
+
+    private byte[] rawPacket;
+
+    /**
+     * Returns the original, non-decoded DNS response packet. Stored as a byte
+     * array since an instance of {@link DnsResponse} may be discarded at any
+     * time, necessitating a release of any {@link ReferenceCounted} objects.
+     * Byte arrays will automatically be cleaned up by the garbage collector.
+     */
+    public byte[] getRawPacket() {","I still don't get why we can't use ByteBuf here .. Could you give more details ?
",3c466e760a5b06c56222a51c6ebdf2c2c492097b
5288978,0,"isInUse()""",2013-07-18 21:49:07,normanmaurer,netty,netty,,https://github.com/netty/netty/pull/1615#discussion_r5288978,2013-07-19T09:49:07Z,2014-03-18T13:28:33Z,normanmaurer,MEMBER,sockjs/src/main/java/io/netty/handler/codec/sockjs/handlers/SessionState.java,,,,,1,"@@ -0,0 +1,107 @@
+/*
+ * Copyright 2012 The Netty Project
+ *
+ * The Netty Project licenses this file to you under the Apache License, version
+ * 2.0 (the ""License""); you may not use this file except in compliance with the
+ * License. You may obtain a copy of the License at:
+ *
+ * http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS, WITHOUT
+ * WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the
+ * License for the specific language governing permissions and limitations under
+ * the License.
+ */
+package io.netty.handler.codec.sockjs.handlers;
+
+import io.netty.channel.ChannelHandlerContext;
+import io.netty.handler.codec.sockjs.SessionContext;
+
+/**
+ * A SessionState represents differences in the types of sessions possible
+ * with SockJS.
+ *
+ * @see PollingSessionState
+ * @see StreamingSessionState
+ * @see SendingSessionState
+ * @see WebSocketSessionState
+ */
+interface SessionState {
+
+    enum States { CONNECTING, OPEN, CLOSED, INTERRUPTED }
+
+    /**
+     * Get the state that this session is currently in.
+     * @return
+     */
+    States getState();
+
+    /**
+     * Called when a new session is connecting.
+     *
+     * @param sessionContext the session context for the SockJS service.
+     * @param ctx the {@link ChannelHandlerContext} for the current connection/channel
+     */
+    void onConnect(final SessionContext sessionContext, final ChannelHandlerContext ctx);
+
+    /**
+     * Called when a request for a connected session is received.
+     *
+     * @param ctx the {@link ChannelHandlerContext} for the current connection/channel. Note
+     *            that this ChannelHandlerContext is different from the one that opened the
+     *            the sesssion and was passed to the onConnect method.
+     */
+    void onOpen(final ChannelHandlerContext ctx);
+
+    /**
+     * Called when the current request has completed and the current ChannelHandlerContext
+     * has become inactive.
+     *
+     * This can happen at different times for different types of SessionStates. For example,
+     * a streaming connection would be held open for a longer period of time compared
+     * to a polling connection which would have many short lived connections.
+     *
+     */
+    void onRequestCompleted(final ChannelHandlerContext ctx);
+
+    /**
+     * Called when the a request is received and the session is in the CLOSED state.
+     */
+    void onClose();
+
+    /**
+     * Called when the SockJSService called close on the {@link SessionContext}
+     */
+    void onSessionContextClose();
+
+    /**
+     * Called when the SockJS server has initiated a close of the session.
+     */
+    void onSockJSServerInitiatedClose();
+
+    /**
+     * Returns the ChannelHandlerContext that opened the session.
+     *
+     * @return {@link ChannelHandlerContext} that was inuse when opening the session.
+     */
+    ChannelHandlerContext getSessionChannelHandlerContext();
+
+    /**
+     * Called when a message is to be processed by the underlying SockJS service
+     */
+    void onMessage(final String message) throws Exception;
+
+    /**
+     * Called when a message is sent to the session.
+     */
+    void addMessage(final String message);
+
+    /**
+     * Indicates if this session is in use.
+     *
+     * @return {@code true} if the session is in use.
+     */
+    boolean isInuse();","isInUse()
",a4ed84e69cc6901945f849248754ff12f623eb51
5057375,0,"@trustin I think this should not be part of the pull-req... """,2013-07-07 16:49:02,normanmaurer,netty,netty,,https://github.com/netty/netty/pull/1536#discussion_r5057375,2013-07-08T04:49:02Z,2013-07-08T04:49:02Z,normanmaurer,MEMBER,handler/src/test/java/io/netty/handler/ssl/SslHandlerTest.java,,51.0,,,8,"@@ -45,7 +45,7 @@ public void testTruncatedPacket() throws Exception {
 
         try {
             // Push the second part of the 5-byte handshake message.
-            ch.writeInbound(Unpooled.wrappedBuffer(new byte[]{2, 0, 0, 1, 0}));
+            ch.writeInbound(Unpooled.wrappedBuffer(new byte[]{ 2, 0, 0, 1, 0 }));
             fail();
         } catch (DecoderException e) {
             // The pushed message is invalid, so it should raise an exception if it decoded the message correctly.","@trustin I think this should not be part of the pull-req... 
",b0c82c84be2581f66763c4917a62c9bd42165621
2356833,1,"Oooh, I see you created a new wheel! That's pretty badass, but I recommend sticking with something that might even become intrinsified: http://docs.oracle.com/javase/6/docs/api/java/util/Arrays.html#fill(java.lang.Object[], int, int, java.lang.Object)""",2012-12-08 03:50:49,viktorklang,netty,netty,,https://github.com/netty/netty/pull/791#discussion_r2356833,2012-12-08T14:50:49Z,2012-12-08T14:50:49Z,viktorklang,NONE,src/main/java/org/jboss/netty/util/internal/ConcurrentIdentityHashMap.java,,521.0,,,40,"@@ -507,6 +518,9 @@ int rehash() {
                 }
             }
             table = newTable;
+            for (int i = 0; i < oldCapacity; ++i) {","Oooh, I see you created a new wheel! That's pretty badass, but I recommend sticking with something that might even become intrinsified: http://docs.oracle.com/javase/6/docs/api/java/util/Arrays.html#fill(java.lang.Object[], int, int, java.lang.Object)
",d0eb12375a82f2a5e014a517cdc5648135f96da9
