comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,created_at_kaiaulu,updated_at
3152660,0,"They are all just lines.  Thus I would make some utility functions that created sets of lines that could be rendered using the standard Line.js class.  But I am unsure if you are looking for additional functionality on top of just generation.""",2013-05-06 04:16:57,bhouston,mrdoob,three.js,bad6535be13c61e4d05337353721a7bab2f3abe4,bhouston,588541,"They are all just lines.  Thus I would make some utility functions that created sets of lines that could be rendered using the standard Line.js class.  But I am unsure if you are looking for additional functionality on top of just generation.
",2013-05-06T16:16:57Z,2013-05-06T16:16:57Z
2446386,0,"@WestLangley I think the only thing that stands out is the following:  * Shouldn't Matrix4.multiplyVector3Array also be made obsolete in favor of a applyProjectionVector3Array or applyMatrix4Vector3Array?    * Same issue with Matrix3.multiplyVector3Arr""",2013-01-16 06:54:54,bhouston,mrdoob,three.js,bb873d16d676ead71dfce5181a73828b5993a05f,bhouston,588541,"@WestLangley I think the only thing that stands out is the following:
- Shouldn't Matrix4.multiplyVector3Array also be made obsolete in favor of a applyProjectionVector3Array or applyMatrix4Vector3Array?  
- Same issue with Matrix3.multiplyVector3Array as with Matrix4.multiplyVector3Array.

Besides that I think it is okay and I did check each file via the diff.
",2013-01-16T17:54:54Z,2013-01-16T17:54:54Z
2147438,2,"> Windows and Ubuntu are also pretty ugly implementations.  Agreed, I would be happy if you could come up with a better solution. I wasn't aware of some other approaches. This is a design problem that pops up over and over so having some new tools in a t""",2012-11-13 09:31:44,alteredq,mrdoob,three.js,89fd8f679a3c340eaccc10481004c2abf71c7d1a,alteredq,438022,"> Windows and Ubuntu are also pretty ugly implementations.

Agreed, I would be happy if you could come up with a better solution. I wasn't aware of some other approaches. This is a design problem that pops up over and over so having some new tools in a toolbox would be cool.
",2012-11-13T20:31:44Z,2012-11-13T20:31:44Z
2064030,0,"... but if it's a headache we can just revert. It was just because of #2524.""",2012-10-28 08:39:54,mrdoob,mrdoob,three.js,2ed94bb52fce9b94c312a00b2b30b68d83528ffa,mrdoob,97088,"... but if it's a headache we can just revert. It was just because of #2524.
",2012-10-28T19:39:54Z,2012-10-28T19:39:54Z
2196798,0,"What if `ambient` was `null` by default? Then, if `null` it will use the value of `color` for the ambient component.  This should solve the problem of not knowing about it and not getting the right colors, and also should have the flexibility for when yo""",2012-11-22 23:04:25,mrdoob,mrdoob,three.js,09ca23477712b90f43be50fd646cc6e0bde45e4e,mrdoob,97088,"What if `ambient` was `null` by default? Then, if `null` it will use the value of `color` for the ambient component.

This should solve the problem of not knowing about it and not getting the right colors, and also should have the flexibility for when you know about it and want to experiment.

Plus it would simplify the API.
",2012-11-23T10:04:25Z,2012-11-23T10:04:25Z
2199749,0,"I think the cleanest would be:  - leave material API as it is - add color coupling lock to Editor UI - for Editor default starting object initialize ambient and diffuse to the same color  Using `null` is kinda tempting because of convenience but it's""",2012-11-23 13:29:27,alteredq,mrdoob,three.js,09ca23477712b90f43be50fd646cc6e0bde45e4e,alteredq,438022,"I think the cleanest would be:
- leave material API as it is
- add color coupling lock to Editor UI
- for Editor default starting object initialize ambient and diffuse to the same color

Using `null` is kinda tempting because of convenience but it's also ""surprise"" type of API. 

I don't know, if you want we can try `null` in a separate branch and see how it feels. Implementation wise it should be relatively simple. If it's too revolting, we could just not use it.
",2012-11-24T00:29:27Z,2012-11-24T00:29:27Z
1913814,1,":)""",2012-09-27 00:03:25,mrdoob,mrdoob,three.js,1f512a992de0342a9ec951522c65b0c7dd75117f,mrdoob,97088,":)
",2012-09-27T12:03:25Z,2012-09-27T12:03:25Z
2467528,1,"Looks good to me!""",2013-01-20 10:26:08,mrdoob,mrdoob,three.js,9b8db498c8579763bf2dc7eebf4d40f9c891ac85,mrdoob,97088,"Looks good to me!
",2013-01-20T21:26:08Z,2013-01-20T21:26:08Z
2471261,0,"I did some experiments on using the Closure API for compressing code remotely. You just gather the code to compress (as we do in the build.py script right now), and post it to their endpoint, then grab the compressed results if all went fine. It's somethin""",2013-01-21 05:15:07,sole,mrdoob,three.js,9b8db498c8579763bf2dc7eebf4d40f9c891ac85,sole,5609,"I did some experiments on using the Closure API for compressing code remotely. You just gather the code to compress (as we do in the build.py script right now), and post it to their endpoint, then grab the compressed results if all went fine. It's something like this:

``` python
def get_response(data):
    post_data = urllib.parse.urlencode(data)
    request = urllib.request.Request('http://closure-compiler.appspot.com/compile', post_data.encode())
    response = urllib.request.urlopen( request )

    compressed = response.read()

    return compressed

values = {
    'compilation_level': 'SIMPLE_OPTIMIZATIONS',
    'output_format': 'text',
    'output_info': 'compiled_code',
    'js_code': string
}

compressed_js = get_response( values )

if len(compressed_js) == 1:
    print('BOOOH ERRORS FOUND!!!')
    values['output_info'] = 'errors'

    errors = get_response( values )
    print(errors)

else:

    with open(outfile, 'wb') as f:
        f.write(compressed_js)

```
",2013-01-21T16:15:07Z,2013-01-21T16:15:07Z
1675584,0,"Wouldn't it be better to return directly from this instead of creating a new object        if ( parameters === undefined ) return; """,2012-08-06 02:27:31,gero3,mrdoob,three.js,4845632e1596812352a33abb2375d289ea8ddc69,gero3,155535,"Wouldn't it be better to return directly from this instead of creating a new object

```
  if ( parameters === undefined ) return;
```
",2012-08-06T14:27:31Z,2012-08-06T14:27:31Z
