comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,path,position,line,created_at_kaiaulu,updated_at
4029918,1,"I owe you a beer. Or two.""",2013-09-05 18:54:59,samueljohn,mxcl,homebrew,a098f46e10d2b7c0d3c5063cc393a08f7cf6b12a,samueljohn,725299,"I owe you a beer. Or two.
",,,,2013-09-06T06:54:59Z,2013-09-06T06:54:59Z
3544024,0,"Nope""",2013-07-01 13:29:52,jacknagel,mxcl,homebrew,34af5fcbcce120497930f8f1346ad83fad05098a,jacknagel,568243,"Nope
",,,,2013-07-02T01:29:52Z,2013-07-02T01:29:52Z
3468862,0,"You can still `brew versions svn` and follow the description to use the older formula version that also provides the older svn.""",2013-06-20 03:56:32,samueljohn,mxcl,homebrew,ffb3e01f3ce6b17f82d52f267202e46bfa1570d2,samueljohn,725299,"You can still `brew versions svn` and follow the description to use the older formula version that also provides the older svn.
",,,,2013-06-20T15:56:32Z,2013-06-20T15:56:32Z
3060756,0,"That's not 'broken', that's ack 2 working as expect. Report it upstream.""",2013-04-22 05:05:12,mikemcquaid,mxcl,homebrew,fe35cf5e5ac45b2b6475bb9822f95a4baeb9bd07,MikeMcQuaid,125011,"That's not 'broken', that's ack 2 working as expect. Report it upstream.
",,,,2013-04-22T17:05:12Z,2013-04-22T17:05:12Z
2854244,1,"anyways now I am testing `brew install mapnik --with-cairo` :-)""",2013-03-21 06:03:14,samueljohn,mxcl,homebrew,a20fb1b0fdab7d202b0f0e10a06e5391f597bc6a,samueljohn,725299,"anyways now I am testing `brew install mapnik --with-cairo` :-)
",Library/Formula/mapnik.rb,69.0,66.0,2013-03-21T17:03:14Z,2013-03-21T17:03:14Z
1193686,0,"That's true - though not with the new syntax.  (Also, Erlang and Imagemagick are detecting versions wrong right now, will have to fix.)""",2012-04-10 05:06:00,mistydemeo,mxcl,homebrew,570e603923d6de652b2a771a9ddee19666af463f,mistydemeo,780485,"That's true - though not with the new syntax.

(Also, Erlang and Imagemagick are detecting versions wrong right now, will have to fix.)
",Library/Formula/erlang.rb,45.0,33.0,2012-04-10T17:06:00Z,2012-04-10T17:06:00Z
651023,1,"I'd fix it myself, but I'm on my way out the door.""",2011-10-13 14:08:35,jacknagel,mxcl,homebrew,358ff1ea2f94e56018cd7b90f9b73365fdc35c36,jacknagel,568243,"I'd fix it myself, but I'm on my way out the door.
",,,,2011-10-14T02:08:35Z,2011-10-14T02:08:35Z
610284,2,"Dangit. I was on another branch where the history looked clean and didn't realize it when I pushed master.""",2011-09-25 06:37:05,Sharpie,mxcl,homebrew,692ff26040ce2c829dad10fc1d0b3bc4e687cf5f,Sharpie,54181,"Dangit. I was on another branch where the history looked clean and didn't realize it when I pushed master.
",,,,2011-09-25T18:37:05Z,2011-09-25T18:37:05Z
4030144,2,":-( The trouble was mostly - I think - because I fucked up the commit and not the `PythonInstalled` requirement itself. I know quite a few people that use PyQt (or PySide) and the python support Homebrew provides. I am sorry this troubles you.""",2013-09-05 19:30:30,samueljohn,mxcl,homebrew,fd03aa527d1a4a44f202a9841b6b4e05ee6065b6,samueljohn,725299,":-(
The trouble was mostly - I think - because I fucked up the commit and not the `PythonInstalled` requirement itself. I know quite a few people that use PyQt (or PySide) and the python support Homebrew provides. I am sorry this troubles you.
",,,,2013-09-06T07:30:30Z,2013-09-06T07:30:30Z
3913614,2,"sorry. I fucked up because I had used `git versions python` and wanted to reproduce an older issue with 2.7.3""",2013-08-21 06:23:31,samueljohn,mxcl,homebrew,1c13eadc714b16efadcbdd5a73a0b2cec7333cab,samueljohn,725299,"sorry. I fucked up because I had used `git versions python` and wanted to reproduce an older issue with 2.7.3
",,,,2013-08-21T18:23:31Z,2013-08-21T18:23:31Z
3468923,2,"Ah ... sorry. Okay :/""",2013-06-20 04:00:16,samueljohn,mxcl,homebrew,ffb3e01f3ce6b17f82d52f267202e46bfa1570d2,samueljohn,725299,"Ah ... sorry. Okay :/
",,,,2013-06-20T16:00:16Z,2013-06-20T16:00:16Z
2420557,2,"Reverted, sorry.""",2013-01-11 02:12:54,mikemcquaid,mxcl,homebrew,1d8f01d8af394a7501f5bf3a1e51796c1a7548a1,MikeMcQuaid,125011,"Reverted, sorry.
",,,,2013-01-11T13:12:54Z,2013-01-11T13:12:54Z
2410673,2,"Yeah, seems so. Something else weird then. I'll revisit later.""",2013-01-09 13:11:46,adamv,mxcl,homebrew,67e8b5e215812a0582d8a7ab1853cd27ded737b7,adamv,3566,"Yeah, seems so. Something else weird then. I'll revisit later.
",,,,2013-01-10T00:11:46Z,2013-01-10T00:11:46Z
2125100,2,"Sorry, I'm an idiot and can't copy/paste correctly.""",2012-11-08 11:24:27,jacknagel,mxcl,homebrew,781bd000d0b933ca991eaf6c7f7e232603c26c72,jacknagel,568243,"Sorry, I'm an idiot and can't copy/paste correctly.
",,,,2012-11-08T22:24:27Z,2012-11-08T22:24:27Z
1835110,2,"Coming from a Gentoo background, that seems pretty crazy that homebrew won't abort when a dep fails...""",2012-09-10 17:07:17,zx2c4,mxcl,homebrew,66b45aed5140781f6c6338492fe47eb77e6025ec,zx2c4,10643,"Coming from a Gentoo background, that seems pretty crazy that homebrew won't abort when a dep fails...
",Library/Formula/pass.rb,16.0,16.0,2012-09-11T05:07:17Z,2012-09-11T05:07:17Z
1765592,2,"Really you shouldn't relink it after, because they install the same binaries. Suggesting it is a bad idea!""",2012-08-25 08:37:05,mistydemeo,mxcl,homebrew,188b1596a65e1c8b1180f5691ce31eadb266871c,mistydemeo,780485,"Really you shouldn't relink it after, because they install the same binaries. Suggesting it is a bad idea!
",Library/Homebrew/formula.rb,10.0,656.0,2012-08-25T20:37:05Z,2012-08-25T20:37:05Z
1586769,2,"build fails for me :(  http://pastebin.com/NDCQ2zSq""",2012-07-16 02:55:15,whoisjake,mxcl,homebrew,f08622f13dc287338be3741101ad0865a693c98d,whoisjake,2079,"build fails for me :(

http://pastebin.com/NDCQ2zSq
",,,,2012-07-16T14:55:15Z,2012-07-16T14:55:15Z
