comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,created_at_kaiaulu,updated_at
3895301,0,"`a` :)""",2013-08-19 11:41:00,KenanSulayman,joyent,node,9456cf8fe2b42ccfb2a9561cd50430e623bdc6d2,19h,280212,"`a` :)
",2013-08-19T23:41:00Z,2013-08-19T23:41:09Z
3856255,0,"Do you have a reference to that bug in clang ?""",2013-08-13 19:02:17,kapouer,joyent,node,61935bc167cc2de57c6417bd12493775dc9c1b81,kapouer,131406,"Do you have a reference to that bug in clang ?
",2013-08-14T07:02:17Z,2013-08-14T07:02:17Z
1293652,0,"No, it is not normal to see req objects leak in this case.  The agent.requests collection is merely requests that are pending or in progress.  The role of the agent is to keep a pool of **sockets**, which are re-used between different requests.  The reques""",2012-05-04 05:46:30,isaacs,joyent,node,91120e04297009ddabb6b7c68ec83a092041903c,isaacs,9287,"No, it is not normal to see req objects leak in this case.  The agent.requests collection is merely requests that are pending or in progress.  The role of the agent is to keep a pool of **sockets**, which are re-used between different requests.  The requests themselves are thrown away when they're completed.

The closure in your example is only leaked because the request was leaked.  The req object was leaked because it was attached to a http_parser and never removed.  The req refers to the closure, which traps a reference to the big object.  Breaking the chain at any point will allow GC to happen, but it must be broken at the right place, not just smashed to bits.

For example, you could also have prevented the leak of the big object by setting the `big` reference to null.  But that's not the root cause.  The root cause is that the parser was not getting cleaned up properly.  So the test focuses on the root cause, not the noisy symptom.
",2012-05-04T17:46:30Z,2012-05-04T17:46:30Z
923938,1,"In truth, I don't really think we need this any more, since we figured out how to get gyp to generate xcode projects to build with a .node extension. I'm happy to generate a PR that adds the condition you've suggested, or backs out the change.""",2012-02-01 09:37:04,paddybyers,joyent,node,7e0bf7d57de318f45a097e05644efa49beb65209,paddybyers,1137574,"In truth, I don't really think we need this any more, since we figured out how to get gyp to generate xcode projects to build with a .node extension. I'm happy to generate a PR that adds the condition you've suggested, or backs out the change.
",2012-02-01T20:37:04Z,2012-02-01T20:37:04Z
697259,0,"shoule be """"Stable"""" ??""",2011-11-04 22:39:50,windyrobin,joyent,node,865b077819a9271a29f982faaef99dc635b57fbc,windyrobin,42018,"shoule be ""Stable"" ??
",2011-11-05T09:39:50Z,2011-11-05T09:39:50Z
700960,0,"There is still a reference to cluster.eachWorker on line 83 of cluster.js: https://github.com/joyent/node/blob/d42006c80a9c827e4c147e22f56bb3d789f578ce/lib/cluster.js#L83""",2011-11-07 09:55:37,jtokoph,joyent,node,d42006c80a9c827e4c147e22f56bb3d789f578ce,jtokoph,346225,"There is still a reference to cluster.eachWorker on line 83 of cluster.js:
https://github.com/joyent/node/blob/d42006c80a9c827e4c147e22f56bb3d789f578ce/lib/cluster.js#L83
",2011-11-07T20:55:37Z,2011-11-07T20:55:37Z
600577,1,"@isaacs  ```js function Deflate(opts) {   if (!(this instanceof Deflate)) return new Deflate(opt);   Zlib.call(this, opts, binding.Deflate); } ```  it should be `new Deflate(opts)`  (The commit is to big to add proper line comments ;o)""",2011-09-20 06:16:04,3rd-Eden,joyent,node,5b8e1dabbc117b38c56f874f4e6d5b7e537cd3c1,3rd-Eden,28071,"@isaacs

``` js
function Deflate(opts) {
  if (!(this instanceof Deflate)) return new Deflate(opt);
  Zlib.call(this, opts, binding.Deflate);
}
```

it should be `new Deflate(opts)`

(The commit is to big to add proper line comments ;o)
",2011-09-20T18:16:04Z,2011-09-20T18:16:55Z
517281,0,"Shouldn't this be `set`, not `get`? From the commit message:  > It's important to be able to inspect this, but modifying it no longer has any effect.""",2011-08-06 10:19:57,michaelficarra,joyent,node,7f0047c2d52eb39c30ee49a6e5a9a3167ec6f54d,michaelficarra,218840,"Shouldn't this be `set`, not `get`? From the commit message:

> It's important to be able to inspect this, but modifying it no longer has any effect.
",2011-08-06T22:19:57Z,2011-08-06T22:19:57Z
273868,0,"Hi Ryan,  I'm working on a new version of timers.js that preserves the order, uses just one Timer(), is as fast or faster (less cpu load), uses less memory and fires them more accurately, at ~exactly the right time. But I'd need a little help from you be""",2011-02-16 11:05:59,xk,joyent,node,6b50a9f5f4a7d0aea82c2b1f8b2b88d5568be4e1,xk,96355,"Hi Ryan,

I'm working on a new version of timers.js that preserves the order, uses just one Timer(), is as fast or faster (less cpu load), uses less memory and fires them more accurately, at ~exactly the right time. But I'd need a little help from you because I don't get what's exactly the use of enroll(), unenroll() and active() ?

Everything ( but these 3 above ) is working now, unfinished, not polished yet, but working better than before: you can have a look at it here: https://github.com/xk/node/tree/fix_settimeout_order

I'll upload later some tests to show how is it better than before.

Please enlighten me wrt to these 3 methods...

Thank you,
Jorge.
",2011-02-16T22:05:59Z,2011-02-16T22:05:59Z
244856,0,"It seems that this commit has broken again the timers on MacOS (issue 534). They were fixed in 82e9da9fb7fb79bf730d  See https://github.com/ry/node/issues/closed#issue/534 Cheers, Jorge.""",2011-01-19 00:59:02,xk,joyent,node,2ec4cd552501b895c83c6871951c1a6256288c48,xk,96355,"It seems that this commit has broken again the timers on MacOS (issue 534). They were fixed in 82e9da9fb7fb79bf730d  See https://github.com/ry/node/issues/closed#issue/534
Cheers,
Jorge.
",2011-01-19T11:59:02Z,2011-01-19T12:01:53Z
