comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,created_at_kaiaulu,updated_at
1971084,0,"You can leave a queue while in queue ? (before NEEDCONFIRMATION)""",2012-10-09 11:10:27,Tuxity,mangos,MaNGOS,abfc99ef522b8b6353d051a002d026530ec7d253,tuxity,31608,"You can leave a queue while in queue ? (before NEEDCONFIRMATION)
",2012-10-09T23:10:27Z,2012-10-09T23:10:27Z
1827828,1,"Didn't look at SpellTargetRestrictions XD""",2012-09-09 01:44:27,Zakamurite,mangos,MaNGOS,915b77339711ec1278ac06ec80d206133bdb427a,Zakamurite,489591,"Didn't look at SpellTargetRestrictions XD
",2012-09-09T13:44:27Z,2012-09-09T13:46:41Z
1569102,0,"I don't agree with Ambal. The name of variable must make the using clear. Example: GuidSet m_guardianpetList; Now we know, we have a GuidSet with contain ->ObjectGuids<- (know form GuidSet) and the ObjectGuids are from our Guardian Pet. With a typedef: """"ty""",2012-07-11 09:24:26,Reamer,mangos,MaNGOS,0e531be9401027abc6f75cbe24d2c96be683e5fb,Reamer,454320,"I don't agree with Ambal. The name of variable must make the using clear.
Example: GuidSet m_guardianpetList;
Now we know, we have a GuidSet with contain ->ObjectGuids<- (know form GuidSet) and the ObjectGuids are from our Guardian Pet.
With a typedef: ""typedef GuidSet GuardianPetList"" we have a double meaning
GuardianPetList m_guardianpetList, looks ugly.
also it's not clear if I see GuardianPetList, what this List contain, maybe Creature*, uint32 or something else  :P
",2012-07-11T21:24:26Z,2012-07-11T21:24:26Z
1214520,1,"Edit - just checked with my python script, I got 1350 records for ytdb 619 :) http://paste2.org/p/1981677""",2012-04-15 22:06:02,Schmoozerd,mangos,MaNGOS,ccfeefbc01734bd25a6499abc46733fd0963a8e0,Schmoozerd,299104,"Edit - just checked with my python script, I got 1350 records for ytdb 619 :)
http://paste2.org/p/1981677
",2012-04-16T10:06:02Z,2012-04-16T10:06:02Z
1214566,0,"Then thought maybe the tables `*` _loot_template PRIMARY key to species entry,item,condition_id ? Or the need to greatly alter the code?""",2012-04-15 22:20:44,NeatElves,mangos,MaNGOS,ccfeefbc01734bd25a6499abc46733fd0963a8e0,NeatElves,315773,"Then thought maybe the tables `*` _loot_template PRIMARY key to species entry,item,condition_id ? Or the need to greatly alter the code?
",2012-04-16T10:20:44Z,2012-04-16T10:20:44Z
978165,0,"`const` also helps the compiler generate code that makes more efficient use of registers tiny function though, probably doesn't make a difference in this case""",2012-02-17 03:38:47,vermie,mangos,MaNGOS,499e1c831b9afd3f6bc02cb90d8a9a861e2b84a3,vermie,238162,"`const` also helps the compiler generate code that makes more efficient use of registers
tiny function though, probably doesn't make a difference in this case
",2012-02-17T14:38:47Z,2012-02-17T14:39:03Z
785974,0,"original author - BroodWyrm (TrinityCore fork), apr. 2010. similate effect - in 43972 spell.""",2011-12-11 18:28:30,rsa,mangos,MaNGOS,378156ba80bef5298d13b0d3564739c190c42353,rsa,148874,"original author - BroodWyrm (TrinityCore fork), apr. 2010. similate effect - in 43972 spell.
",2011-12-12T05:28:30Z,2011-12-12T05:28:30Z
701241,2,"thanks. always don't understand the sense of such stupid restrictions""",2011-11-07 11:54:18,SilverIce,mangos,MaNGOS,92279286e9571642a3ba1c82597327415272fc1a,SilverIce,107977,"thanks. always don't understand the sense of such stupid restrictions
",2011-11-07T22:54:18Z,2011-11-07T22:54:18Z
613729,0,"Yes, it is incorrect. 67009 has basepoints == 66227, so 66228 will be triggered. 66228 has stackAmount == 5. You will not get 10 stacks anyway.""",2011-09-26 23:41:14,cenfa,mangos,MaNGOS,b1dee7962d02131b83c9401cf2e31c51e920f54d,cenfa,216825,"Yes, it is incorrect.
67009 has basepoints == 66227, so 66228 will be triggered. 66228 has stackAmount == 5. You will not get 10 stacks anyway.
",2011-09-27T11:41:14Z,2011-09-27T11:41:14Z
568743,2,"not only this. equal to one of the options for receiving the award for the LFG group must fulfill all the encounters (and not just last). in the case of use your container, it can not be verified. PS If you think that I did the curves of stupidity structu""",2011-09-04 03:27:03,rsa,mangos,MaNGOS,af5889c24847566023d7d2b05c05508a92df7f31,rsa,148874,"not only this. equal to one of the options for receiving the award for the LFG group must fulfill all the encounters (and not just last). in the case of use your container, it can not be verified.
PS If you think that I did the curves of stupidity structures that were in the original patch, then you are mistaken. check with your actors are noticeably slower and the curves.
",2011-09-04T15:27:03Z,2011-09-04T15:27:03Z
573561,0,"I think this is labeled wrong. Manually edited?""",2011-09-06 15:18:42,BThallid,mangos,MaNGOS,af5889c24847566023d7d2b05c05508a92df7f31,BThallid,181617,"I think this is labeled wrong. Manually edited?
",2011-09-07T03:18:42Z,2011-09-07T03:18:42Z
493355,0,"Hmm, maybe you set path to mangosd.conf also using commandline option -c?  For support this way i add in [11751] new commanline option -a/--ahbot for set in same way as -c option work path to ahbot config""",2011-07-23 16:41:03,VladimirMangos,mangos,MaNGOS,96e8b337bc51408787dca0c403b381bcc61cb7ab,VladimirMangos,29081,"Hmm, maybe you set path to mangosd.conf also using commandline option -c?

For support this way i add in [11751] new commanline option -a/--ahbot for set in same way as -c option work path to ahbot config
",2011-07-24T04:41:03Z,2011-07-24T04:41:03Z
